Rank,Company,Ticker,Latest Recommendation,Current Price,Market Cap,Dividend Yield,1Y Rev. Growth,5Y Return,Daily Change
2,Shopify,SHOP,Wed May 31 2023,77.4825,98255350900,0,26.0744903804593,2.9875730994152048,1.457
3,The Trade Desk,TTD,Wed Nov 30 2022,84.29,41769887900,0,23.344287439116,3.3783312833128334,-1.334
5,Tesla,TSLA,Wed May 03 2023,203.7333,642945405200,0,18.7952665046279,9.272397125540262,0.918
7,MercadoLibre,MELI,Wed Sep 20 2023,1609.89,80877562200,0,37.3540856031131,2.5322380657160566,0.915
8,Okta,OKTA,Thu Apr 19 2018,108.5899,17741518500,0,21.8112684304809,0.2414670831887075,1.202
9,Zscaler,ZS,Wed Jun 01 2022,219.94,35892136000,0,40.6150687085872,2.994881954763084,-9.104
11,Datadog,DDOG,Wed Aug 16 2023,130.85,43099029500,0,27.0586233657692,-,-0.464
12,Take-Two Interactive Software,TTWO,,149.875,25064201000,0,11.6410934554536,0.6636096014492756,2.004
13,Nvidia,NVDA,Thu Jan 19 2017,821.325,1977800000000,0.02,125.85452658115199,19.22678171939917,3.818
14,Arista Networks,ANET,Wed Aug 01 2018,287.78,86768440400,0,33.7537859681237,2.87436309066797,3.6900000000000004
15,Paycom Software,PAYC,Wed Apr 05 2023,183.71,10496799800,0.62,23.1567649638094,0.0032453245324531076,0.931
16,PayPal,PYPL,Wed Jan 31 2024,60.7399,64668791600,0,9.70209934949734,-0.3892712550607287,0.663
17,Microsoft,MSFT,Wed Dec 20 2023,414.9901,3073527201600,0.69,11.5089125598989,2.6758197813916293,0.326
19,Amazon,AMZN,Wed Nov 16 2022,178.51,1836076824000,0,11.8295741298837,1.1146955549042008,0.9899999999999999
20,HubSpot,HUBS,Wed Dec 04 2019,630.48,31357887300,0,25.3764652189235,2.5994067007910657,1.886
21,ServiceNow,NOW,Wed Jan 03 2024,776.26,158124700000,0,23.8233264320221,2.1674605781865965,0.638
22,Netflix,NFLX,Wed Nov 20 2019,615.34,260919659200,0,6.66680478435453,0.687339079816411,2.06
23,Kinsale Capital Group,KNSL,Wed Feb 01 2023,512.8,11969749600,0.11,48.2107603292474,6.743474347434743,-0.655
24,CrowdStrike,CRWD,Wed Oct 04 2023,315.665,77847215700,0,39.9388858010722,-,-2.618
25,DocuSign,DOCU,Wed Jun 28 2023,54.335,10863564200,0,11.1566010864254,-0.053650737253508544,1.999
27,Zoom Video Communications,ZM,Wed Jul 06 2022,71.03,21531980200,0,3.0563446969697,-,0.424
29,Walt Disney,DIS,Sun Jul 25 2021,112.09,204671194000,0,5.34773351730044,-0.021313919831593777,0.457
30,Meta Platforms,META,Sun Jul 25 2021,503.79,1249542323300,0.1,15.6866108104863,2.0202736011831406,2.787
31,Accenture Plc,ACN,Wed Feb 15 2023,381.38,234984061800,1.29,3.54504646058864,1.282460414129111,1.7610000000000001
32,Atlassian,TEAM,Wed Sep 06 2023,208.27,53806199900,0,22.3871755624193,0.8694907616043261,0.4099999999999999
33,Fiverr International,FVRR,Sun Jul 25 2021,23.5783,913369600,0,7.11660333282032,-,-0.092
34,Roku,ROKU,Wed Dec 15 2021,63.3,9069299500,0,11.4530979033012,-0.08540822235089748,0.19
35,Airbnb,ABNB,Wed Aug 31 2022,160.33,100479559900,0,18.0671981774053,-,1.8159999999999998
37,Snowflake,SNOW,Wed Aug 02 2023,186.91,62000604000,0,35.8640995440196,-,-0.728
39,Autodesk,ADSK,Tue Aug 17 2021,264.34,55226435600,0,10.1314459049545,0.6158853351693059,2.39
41,Chewy,CHWY,Wed Sep 14 2022,17.94,7833941600,0,12.563331696636098,-,1.701
42,Apple,AAPL,Thu Jun 16 2011,179.3,2791123425000,0.53,-0.472471015670762,3.132136937760759,-0.8020000000000002
43,Alphabet,GOOGL,Thu Jul 19 2012,138.215,1721473180000,0,9.35718736092568,1.4111029847107581,-0.177
43,Alphabet,GOOG,Thu Feb 18 2016,139.28,1737884740000,0,9.35718736092568,1.4501529373614144,-0.358
45,Fortinet,FTNT,Tue Nov 22 2022,70.32,52733072400,0,20.0887399827953,2.9750373864028528,1.751
46,Twilio,TWLO,Wed Mar 06 2019,60.22,10788352400,0,8.56237623555369,-0.5176070590140047,1.057
47,Advanced Micro Devices,AMD,Wed Jan 17 2024,201.9787,311088048700,0,-3.90237701792297,7.130489864864865,4.908
49,ASML,ASML,Wed May 18 2022,986.78,377793168000,0.69,34.6803395016033,4.141159310680136,3.688
51,Spotify Technology,SPOT,Wed Jan 19 2022,261.355,49472514600,0,16.2524449182066,0.8580434782608698,1.9290000000000003
52,Wix.com,WIX,Wed Aug 05 2020,139.255,7676172700,0,12.5389683107594,0.2848762603116408,-0.66
53,Starbucks,SBUX,Thu Sep 15 2016,92.985,107445780000,2.32,11.4842880513778,0.33944954128440386,-2.018
54,Appian,APPN,Wed Feb 06 2019,35.84,2558028300,0,16.5327965708742,-0.05066739308090437,2.841
55,Cloudflare,NET,Wed Nov 02 2022,101.37,33273016400,0,32.9666205584056,-,2.872
56,Berkshire Hathaway,BRK.B,Thu May 19 2016,406.53,886760400000,0,20.6538470450761,1.0154580810318514,-0.701
57,JD.com,JD,Wed Aug 19 2020,23.08,30824726400,2.74,-2.985555631524,-0.19280513170390592,2.034
58,Vertex Pharmaceuticals,VRTX,Wed May 17 2023,432.05,108680507900,0,12.4688507350083,1.1895295587010826,2.688
59,Roblox,RBLX,Wed Nov 15 2023,41.165,25202356200,0,25.8071272042181,-,3.17
60,Veeva Systems,VEEV,Wed Apr 19 2023,224.05,36310718200,0,9.68014811652575,0.8754990019960079,-0.647
61,Gartner,IT,Thu Mar 14 2013,469.5,36298735500,0,7.872944900215101,2.2120877604526012,0.8460000000000001
64,Salesforce,CRM,,317.4655,298937760000,0,11.1795100791018,0.8769829210478332,2.8
65,Chipotle Mexican Grill,CMG,Thu May 18 2017,2690.53,73729299900,0,14.3259624128454,3.3960727891045237,0.065
66,Cognex,CGNX,Thu Jul 20 2017,40.21,6770961300,0.91,-16.7522786231848,-0.25596909403119167,1.926
68,Mastercard,MA,Wed Nov 28 2018,475.48,442899331200,0.5,13.0777192745601,1.0891529152915291,0.152
70,DigitalOcean,DOCN,Wed Dec 01 2021,38.48,3443010900,0,20.225151911605,-,1.477
71,Enphase Energy,ENPH,Wed Jun 14 2023,129.86,17242750600,0,-1.71898442329911,12.95714285714286,2.244
75,Monster Beverage,MNST,Wed Jul 19 2023,58.715,61490004000,0,13.1353261343199,0.8257645968489346,-0.651
77,Lemonade,LMND,Mon Jan 11 2021,17.18,1135559300,0,86.9158878504673,-,5.788
78,Coupang,CPNG,Wed Oct 18 2023,19.025,33113389600,0,18.4639269597186,-,2.727
80,CarMax,KMX,Thu Mar 14 2013,78.77,12475759000,0,-15.8524222271899,0.28142741281427414,-0.291
83,Upstart,UPST,Wed Mar 02 2022,26.3511,2225580200,0,-39.3131175484661,-,2.334
84,Pinterest,PINS,Wed Sep 30 2020,36.41,24918712800,0,9.00946772502708,-,-0.79
88,Old Dominion Freight Line,ODFL,Thu May 18 2017,446.72,48158195800,0.36,-6.29265422773554,3.349125221151956,0.958
89,Globus Medical,GMED,Wed May 20 2020,54.57,7308734300,0,53.3447459678563,0.11688043028547783,1.074
92,Stitch Fix,SFIX,Wed Jun 28 2023,3.28,380787900,0,-20.5194126217606,-0.8886206896551724,1.548
93,iRobot,IRBT,Thu Jul 20 2017,11.3,317946500,0,-25.075188197550595,-0.9119326952763199,-0.964
95,Block,SQ,Wed Oct 03 2018,79.745,48929281600,0,25.006498270806897,0.025948876839659248,0.346
96,Unity Software,U,Wed Nov 17 2021,29.15,11142157100,0,61.5574792541527,-,-0.58
98,Confluent,CFLT,Wed Jan 05 2022,33.93,10588507100,0,32.5983370424477,-,0.177
99,Texas Roadhouse,TXRH,Thu Jan 21 2016,148.94,9982113300,1.47,15.361530332243301,1.3679454660748258,-0.288
100,Workday,WDAY,Thu Mar 17 2016,292.193,77495580000,0,16.3121418654184,0.557893623770752,-0.8369999999999999
104,Synopsys,SNPS,Wed May 15 2019,590.375,87519069100,0,18.8710540540959,4.559937978486288,2.901
105,Masimo,MASI,Wed Jan 18 2023,128.33,6792220700,0,0.60215900947078,-0.043956861286723665,-0.163
112,CME Group,CME,Thu Nov 16 2017,218.33,79324457600,1.95,11.1467506076423,0.32266633398021827,-0.9170000000000001
113,Ulta Beauty,ULTA,Thu Jan 19 2012,546.64,26638896400,0,12.0333594372268,0.7398033618775767,-0.35
114,Tractor Supply,TSCO,Thu Feb 16 2017,251.005,27445451400,1.6500000000000001,2.47117911606406,1.6781802864363946,-1.303
116,Vail Resorts,MTN,Thu Dec 14 2017,229.42,8744087600,3.58,9.07675652325687,0.1102487466255303,-0.386
117,Lam Research,LRCX,Wed Mar 17 2021,981.04,123007389800,0.79,-24.7217580803925,4.308345120226308,4.561
118,Illumina,ILMN,Thu Mar 17 2016,142.4,22218987000,0,-1.7237617281256798,-0.5646366523444797,1.838
119,Adobe,ADBE,Thu Aug 20 2009,568.85,253246560000,0,11.1232216613125,1.122192341199197,1.53
122,Interactive Brokers Group,IBKR,Thu Dec 18 2014,110,11634670800,0.45999999999999996,87.7180406212664,0.9571557155715573,1.177
124,Costco Wholesale,COST,Thu Apr 11 2002,749.1987,330084821900,0.54,6.329968661807231,2.557850559706583,0.714
125,Garmin,GRMN,Wed Mar 16 2022,137.76,26340571000,2.13,7.57089503411736,0.621797142519778,0.299
126,Coherent,COHR,Thu Mar 17 2011,63.11,9029837200,0,4.52012973804734,0.40781065088757384,6.103
129,Nike,NKE,Thu Oct 20 2016,102.54,157476814600,1.34,4.79116228917869,0.1924047728315742,-0.985
135,Doximity,DOCS,Wed Jun 15 2022,28.135,5266701700,0,16.5759361177282,-,-0.337
139,Adyen,ADYE.Y,Wed Apr 20 2022,15.92,49032298000,0,-78.4898038592922,-,0.759
141,Under Armour,UAA,Thu Sep 19 2013,8.985,3900117800,0,-4.10527033672054,-0.6080489938757655,0.279
141,Under Armour,UA,,8.555,3717299700,0,-4.10527033672054,-0.5815776580107791,0.176
